Pincode,Governing_Sub_Post_Office,Area_Place_Name,Office_Type,Postal_Division
760001,Berhampur(GM) H.O,Berhampur(GM) H.O,Head Office (H.O.),Berhampur Division
760001,Berhampur(GM) H.O,Badakhemundi Street S.O,Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Bhapur Bazar S.O,Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Bijipur S.O,Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Brajanagar,Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Gandhinagar S.O (Ganjam),Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Gatebazar S.O,Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Godavarishanagar S.O,Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Khallikote College S.O,Sub Office (S.O.),Berhampur Division
760001,Berhampur(GM) H.O,Military Lines S.O,Sub Office (S.O.),Berhampur Division
760002,Berhampur City S.O,Berhampur City S.O,Sub Office (S.O.),Berhampur Division
760002,Berhampur City S.O,Park Street S.O,Sub Office (S.O.),Berhampur Division
760002,Berhampur City S.O,Premnagar S.O (Ganjam),Sub Office (S.O.),Berhampur Division
760002,Berhampur City S.O,Sriram Nagar S.O,Sub Office (S.O.),Berhampur Division
760002,Berhampur City S.O,Banthapalli B.O,Branch Office (B.O.),Berhampur Division
760002,Berhampur City S.O,Bendalia B.O,Branch Office (B.O.),Berhampur Division
760002,Berhampur City S.O,Dakhinpur B.O,Branch Office (B.O.),Berhampur Division
760002,Berhampur City S.O,Lathi B.O,Branch Office (B.O.),Berhampur Division
760002,Berhampur City S.O,Mohuda B.O,Branch Office (B.O.),Berhampur Division
760002,Berhampur City S.O,Puruna Berhampur B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Gosaninuagam S.O,Sub Office (S.O.),Berhampur Division
760003,Gosaninuagam S.O,Daspur B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Haladiapadar B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Keluapalli B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Ladigam B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Markandi B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Padmapur B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Phulta B.O,Branch Office (B.O.),Berhampur Division
760003,Gosaninuagam S.O,Rangipur B.O,Branch Office (B.O.),Berhampur Division
760004,Baidyanathpur S.O,Baidyanathpur S.O,Sub Office (S.O.),Berhampur Division
760004,Baidyanathpur S.O,Courtpeta S.O,Sub Office (S.O.),Berhampur Division
760004,Baidyanathpur S.O,Goilundi S.O,Sub Office (S.O.),Berhampur Division
760004,Baidyanathpur S.O,Medical College S.O (Ganjam),Sub Office (S.O.),Berhampur Division
760005,Hillpatna S.O,Hillpatna S.O,Sub Office (S.O.),Berhampur Division
760006,Panigrahipentho S.O,Panigrahipentho S.O,Sub Office (S.O.),Berhampur Division
760006,Panigrahipentho S.O,Sankarapur S.O,Sub Office (S.O.),Berhampur Division
760007,Berhampur University S.O,Berhampur University S.O,Sub Office (S.O.),Berhampur Division
760007,Berhampur University S.O,Badakusasthali B.O,Branch Office (B.O.),Berhampur Division
760007,Berhampur University S.O,Badapur B.O,Branch Office (B.O.),Berhampur Division
760007,Berhampur University S.O,Bahadurpeta B.O,Branch Office (B.O.),Berhampur Division
760007,Berhampur University S.O,Narendrapur B.O,Branch Office (B.O.),Berhampur Division
760007,Berhampur University S.O,Rangailunda B.O,Branch Office (B.O.),Berhampur Division
760008,Industrial Estates S.O,Industrial Estates S.O,Sub Office (S.O.),Berhampur Division
760008,Industrial Estates S.O,Lanjipalli S.O,Sub Office (S.O.),Berhampur Division
760009,Nabeen S.O,Nabeen S.O,Sub Office (S.O.),Berhampur Division
760010,Engineering School S.O,Engineering School S.O,Sub Office (S.O.),Berhampur Division
760010,Engineering School S.O,Ankuli B.O,Branch Office (B.O.),Berhampur Division
760010,Engineering School S.O,Dura B.O,Branch Office (B.O.),Berhampur Division
760011,AMBAPUA SO,AMBAPUA SO,Sub Office (S.O.),Berhampur Division
761001,Nimakhandi S.O,Nimakhandi S.O,Sub Office (S.O.),Berhampur Division
761001,Nimakhandi S.O,Bhabinipur B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Borigam B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Gurunthi B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Hugulapata B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Jagadalapur B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Jhadankuli B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Krupasindhupur B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Lochapada B.O,Branch Office (B.O.),Berhampur Division
761001,Nimakhandi S.O,Palasi B.O,Branch Office (B.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Gopalpur S.O (Ganjam),Sub Office (S.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Badaputi B.O,Branch Office (B.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Boxipalli B.O,Branch Office (B.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Ganju B.O,Branch Office (B.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Kallipalli B.O,Branch Office (B.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Narayanapur B.O,Branch Office (B.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Upalaputti B.O,Branch Office (B.O.),Berhampur Division
761002,Gopalpur S.O (Ganjam),Venkataraipur B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Bhatakumarada S.O,Sub Office (S.O.),Berhampur Division
761003,Bhatakumarada S.O,Baghala B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Bellagam B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Bhabandha B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Chandipadar B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Dhobadipatapur B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Gondala B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Jagannathpur B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Laxmipur B.O,Branch Office (B.O.),Berhampur Division
761003,Bhatakumarada S.O,Sahapur B.O,Branch Office (B.O.),Berhampur Division
